size,succeeded,timeout,duration
50,49,1,408.409Âµs
100,98,2,6.332805ms
150,148,2,1.919575ms
200,198,2,3.867413ms
250,248,2,100.129626ms
300,298,2,11.756214ms
350,348,2,7.198643ms
400,398,2,4.270958ms
450,448,2,9.512233ms
500,498,2,4.453343ms
550,547,3,6.245132ms
600,597,3,15.458064ms
650,647,3,21.904209ms
700,697,3,98.500379ms
750,747,3,19.775879ms
800,797,3,20.949749ms
850,847,3,90.562211ms
900,895,5,111.491342ms
950,945,5,105.747425ms
1000,995,5,95.707824ms
1050,1045,5,87.335321ms
1100,1095,5,24.114245ms
1150,1145,5,97.485532ms
1200,1195,5,100.001052ms
1250,1245,5,107.749781ms
1300,1295,5,17.258467ms
1350,1344,6,118.415441ms
1400,1394,6,118.060932ms
1450,1444,6,20.709195ms
1500,1494,6,109.310397ms
1550,1544,6,110.781357ms
1600,1594,6,212.722833ms
1650,1644,6,13.539418ms
1700,1694,6,20.507545ms
1750,1742,8,135.880794ms
1800,1791,9,37.69281ms
1850,1841,9,139.66657ms
1900,1891,9,29.627569ms
1950,1941,9,136.849534ms
2000,1991,9,125.202512ms
